vendor,scenario,users,model,duration_s,tokens_per_sec,requests_per_sec,total_tokens,cache_hit_pct,read_device_p99_ms,write_device_p99_ms,read_host_p99_ms,write_host_p99_ms,io_lat_p50_ms,io_lat_p95_ms,io_lat_p99_ms,read_bw_gbps,write_bw_gbps,read_iops,write_iops,total_read_gb,total_write_gb,storage_health
WD SN570,1u-8B,1,llama3.1-8b,120,2113.0,8.2,253559,97.94,22.29,53.49,5.39,9.0,32.26,355.77,524.87,0.862,0.07,9430,984,103.43,8.42,PASS
WD SN570,4u-8B,4,llama3.1-8b,120,3448.0,13.9,413797,97.85,77.12,128.58,7.42,11.44,69.06,843.15,1274.94,1.444,0.122,15496,1668,173.25,14.66,PASS
WD SN570,8u-8B,8,llama3.1-8b,120,3426.0,13.57,411066,97.83,147.32,209.16,12.27,16.18,132.85,1700.23,2291.13,1.54,0.126,15345,1628,184.84,15.11,PASS
WD SN570,16u-8B,16,llama3.1-8b,120,3573.0,14.35,428737,97.93,327.82,243.3,8.16,25.06,225.53,3481.66,5396.68,1.523,0.126,16035,1722,182.8,15.11,FAIL
WD SN570,4u-70B,4,llama3.1-70b-instruct,180,1375.0,5.85,247467,97.91,232.56,363.72,18.45,35.59,217.2,2329.01,3985.81,1.526,0.131,9343,1053,274.68,23.65,PASS
Biwin X570,1u-8B,1,llama3.1-8b,120,3071.0,12.62,368505,97.7,14.04,6.75,5.99,9.38,15.83,197.69,292.27,1.375,0.114,13834,1514,165.04,13.7,PASS
Biwin X570,4u-8B,4,llama3.1-8b,120,5890.0,23.95,706857,97.86,30.61,14.14,8.36,11.5,32.11,424.65,708.83,2.588,0.214,26511,2874,310.58,25.65,PASS
Biwin X570,8u-8B,8,llama3.1-8b,120,6806.0,27.97,816755,97.95,47.92,19.48,13.72,13.84,50.41,662.57,1054.95,2.997,0.252,30673,3357,359.59,30.24,PASS
Biwin X570,16u-8B,16,llama3.1-8b,120,7157.0,29.58,859156,97.78,59.64,27.26,14.53,14.29,60.87,723.17,1281.35,3.134,0.265,32303,3551,376.16,31.78,PASS
Biwin X570,4u-70B,4,llama3.1-70b-instruct,180,2521.0,10.25,453811,97.81,79.88,27.83,19.22,25.27,80.66,1244.2,1942.8,2.803,0.232,17009,1845,504.59,41.84,PASS
ZhiTai Ti600,1u-8B,1,llama3.1-8b,120,2505.0,10.06,300610,98.0,15.96,20.8,5.36,9.61,27.15,273.54,400.87,1.079,0.088,11266,1207,129.46,10.61,PASS
ZhiTai Ti600,4u-8B,4,llama3.1-8b,120,4977.0,19.87,597297,97.81,41.91,24.7,8.56,11.55,44.6,540.39,870.08,2.155,0.177,22334,2385,258.54,21.21,PASS
ZhiTai Ti600,8u-8B,8,llama3.1-8b,120,5491.0,22.35,658865,97.81,68.83,278.89,14.22,14.8,58.02,768.93,1425.31,2.367,0.196,24695,2682,284.04,23.55,PASS
ZhiTai Ti600,16u-8B,16,llama3.1-8b,120,5746.0,23.42,689543,97.85,101.66,348.26,12.82,24.35,75.13,975.92,1614.96,2.468,0.206,25868,2811,296.18,24.68,PASS
ZhiTai Ti600,4u-70B,4,llama3.1-70b-instruct,180,1854.0,7.74,333699,97.95,258.33,1073.41,17.85,24.86,113.4,1617.93,3124.53,1.868,0.162,12571,1394,336.23,29.22,PASS
Seagate FC530,1u-8B,1,llama3.1-8b,120,1728.0,6.66,207329,98.1,35.36,8.11,5.4,9.5,39.27,510.41,765.44,0.712,0.059,7700,799,85.47,7.1,PASS
Seagate FC530,4u-8B,4,llama3.1-8b,120,4355.0,17.32,522607,97.8,46.28,12.9,9.38,11.76,48.39,651.76,1007.1,1.89,0.154,19513,2078,226.83,18.47,PASS
Seagate FC530,8u-8B,8,llama3.1-8b,120,4265.0,17.27,511742,97.68,117.22,26.0,9.5,13.36,101.4,1410.86,2158.7,1.841,0.154,19183,2073,220.92,18.47,PASS
Seagate FC530,16u-8B,16,llama3.1-8b,120,5398.0,21.74,647715,97.77,153.13,50.79,13.03,21.27,149.53,2149.46,3524.05,2.344,0.194,24243,2609,281.34,23.22,PASS
Seagate FC530,4u-70B,4,llama3.1-70b-instruct,180,2012.0,8.21,362130,97.82,111.09,27.79,18.18,24.59,120.61,1682.26,2695.46,2.091,0.179,13584,1477,376.39,32.26,PASS
