file,dev,samples,r/s_avg,r/s_p95,r/s_max,w/s_avg,w/s_p95,wkB/s_avg,wkB/s_p95,wkB/s_max,%util_avg,%util_p95,%util_max
burstgpt_70b_users6_decode_only_20260608_145905.log,loop0,614,1.6286644951140064e-05,0.0,0.01,-1.6286644951140064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop1,614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop10,614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop11,614,1.6286644951140064e-05,0.0,0.01,-1.6286644951140064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop12,614,0.00011400651465798046,0.0,0.07,-0.00011400651465798046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop13,614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop14,614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop15,614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop16,614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop17,614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop18,614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop19,614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop2,614,1.6286644951140064e-05,0.0,0.01,-1.6286644951140064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop20,614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop21,614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop3,614,1.6286644951140064e-05,0.0,0.01,-1.6286644951140064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop4,614,3.257328990228013e-05,0.0,0.02,-3.257328990228013e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop5,614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop6,614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop7,614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop8,614,6.514657980456026e-05,0.0,0.04,-6.514657980456026e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,loop9,614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,nvme0n1,614,1.6286644951140064e-05,0.0,0.01,-1.6286644951140064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,nvme1n1,614,17081.8617752443,38258.0,39288.0,-17053.18228013029,62.422000000000004,27062.051856677524,3970.560000000024,1519759.36,28.679495114006514,62.422000000000004,68.0
burstgpt_70b_users6_decode_only_20260608_145905.log,nvme2n1,614,4.8859934853420195e-05,0.0,0.03,-4.8859934853420195e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_decode_only_20260608_145905.log,nvme3n1,614,1.6286644951140064e-05,0.0,0.01,-1.6286644951140064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
