file,dev,samples,r/s_avg,r/s_p95,r/s_max,w/s_avg,w/s_p95,wkB/s_avg,wkB/s_p95,wkB/s_max,%util_avg,%util_p95,%util_max
iostat_burstgpt_70b_users6_full.log,loop0,609,1.6420361247947455e-05,0.0,0.01,-1.6420361247947455e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop1,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop10,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop11,609,1.6420361247947455e-05,0.0,0.01,-1.6420361247947455e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop12,609,0.00014778325123152708,0.0,0.09,-0.00014778325123152708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop13,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop14,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop15,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop16,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop17,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop18,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop19,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop2,609,1.6420361247947455e-05,0.0,0.01,-1.6420361247947455e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop20,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop21,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop3,609,1.6420361247947455e-05,0.0,0.01,-1.6420361247947455e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop4,609,3.284072249589491e-05,0.0,0.02,-3.284072249589491e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop5,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop6,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop7,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop8,609,9.852216748768472e-05,0.0,0.06,-9.852216748768472e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,loop9,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,nvme0n1,609,1.6420361247947455e-05,0.0,0.01,-1.6420361247947455e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,nvme1n1,609,12240.20315270936,34231.2,37826.0,-12209.255812807882,71.36,152739.60459770114,445440.0000000001,886364.16,30.947339901477832,71.36,78.6
iostat_burstgpt_70b_users6_full.log,nvme2n1,609,6.568144499178982e-05,0.0,0.04,-6.568144499178982e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iostat_burstgpt_70b_users6_full.log,nvme3n1,609,1.6420361247947455e-05,0.0,0.01,-1.6420361247947455e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
