file,dev,samples,r/s_avg,r/s_p95,r/s_max,w/s_avg,w/s_p95,wkB/s_avg,wkB/s_p95,wkB/s_max,%util_avg,%util_p95,%util_max
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop0,1245,8.032128514056226e-06,0.0,0.01,-8.032128514056226e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop1,1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop10,1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop11,1245,8.032128514056226e-06,0.0,0.01,-8.032128514056226e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop12,1245,5.622489959839358e-05,0.0,0.07,-5.622489959839358e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop13,1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop14,1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop15,1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop16,1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop17,1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop18,1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop19,1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop2,1245,8.032128514056226e-06,0.0,0.01,-8.032128514056226e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop20,1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop21,1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop3,1245,8.032128514056226e-06,0.0,0.01,-8.032128514056226e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop4,1245,1.606425702811245e-05,0.0,0.02,-1.606425702811245e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop5,1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop6,1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop7,1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop8,1245,3.21285140562249e-05,0.0,0.04,-3.21285140562249e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,loop9,1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,nvme0n1,1245,8.032128514056226e-06,0.0,0.01,-8.032128514056226e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,nvme1n1,1245,8425.395582329318,37789.0,38843.0,-8402.727823293173,61.6,150976.74229718876,685541.376,1475307.52,22.667759036144577,61.6,84.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,nvme2n1,1245,2.4096385542168674e-05,0.0,0.03,-2.4096385542168674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burstgpt_70b_users6_prefill_only_20260608_145905.log,nvme3n1,1245,8.032128514056226e-06,0.0,0.01,-8.032128514056226e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
