second,r_mb_s,w_mb_s,r_iops,w_iops,util_pct,await_ms,rareq_sz_kb,wareq_sz_kb
0,126.83,64.28,1093.95,562.66,4.40,3.26,118.72,116.99
1,3.70,543.20,51.00,4817.00,13.00,0.48,74.20,115.47
2,34.82,0.29,611.00,10.00,5.20,0.13,58.36,29.20
3,40.42,0.00,706.00,0.00,9.10,0.15,58.62,0.00
4,549.38,84.21,4565.00,685.00,12.10,0.16,123.23,125.88
5,3643.34,348.39,30453.00,2840.00,63.00,0.55,122.51,125.62
6,3479.02,238.68,28456.00,1929.00,60.40,0.57,125.19,126.70
7,2873.60,329.00,23450.00,2657.00,52.40,0.77,125.48,126.79
8,3268.92,68.05,26510.00,548.00,48.00,0.36,126.27,127.17
9,795.24,74.86,6514.00,606.00,14.10,0.27,125.01,126.50
10,700.91,142.72,5670.00,1148.00,11.70,0.75,126.58,127.30
11,2593.40,85.84,21094.00,696.00,49.40,0.31,125.90,126.29
12,980.69,125.11,8138.00,1020.00,16.60,0.43,123.40,125.60
13,1030.98,79.95,8558.00,651.00,20.00,0.26,123.36,125.76
14,817.82,57.58,6731.00,466.00,9.30,0.38,124.42,126.52
15,2042.22,409.59,16796.00,3312.00,43.10,1.17,124.51,126.64
16,4078.89,303.02,33262.00,2447.00,63.90,0.79,125.57,126.80
17,2659.07,28.05,21585.00,228.00,41.10,0.16,126.15,125.98
18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,339.88,34.06,2780.00,275.00,5.70,0.21,125.19,126.84
20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,0.00,0.04,0.00,1.00,0.30,2.00,0.00,36.00
22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,233.61,21.19,2004.00,174.00,4.10,0.05,119.37,124.69
24,768.02,79.50,6290.00,645.00,14.80,0.16,125.03,126.21
25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,0.00,0.09,0.00,1.00,0.00,0.00,0.00,88.00
30,0.00,0.09,0.00,25.00,1.20,0.72,0.00,3.52
31,61.61,561.86,561.00,5091.00,22.80,0.16,112.46,113.01
32,346.49,55.32,2885.00,460.00,8.20,0.36,122.98,123.15
33,1171.31,169.42,9602.00,1371.00,20.10,0.38,124.91,126.54
34,670.96,117.36,5790.00,967.00,16.50,0.18,118.66,124.27
35,3089.05,448.36,25744.00,3643.00,62.40,0.64,122.87,126.03
36,3620.23,401.09,29414.00,3351.00,62.20,1.03,126.03,122.57
37,3940.64,333.71,33410.00,2731.00,61.20,0.50,120.78,125.13
38,4263.05,302.66,35117.00,2455.00,61.80,0.60,124.31,126.24
39,3951.92,304.11,32470.00,2471.00,65.20,0.50,124.63,126.02
40,3743.73,357.37,30944.00,2910.00,55.10,0.72,123.89,125.75
41,4082.43,328.79,33540.00,2679.00,61.20,0.48,124.64,125.67
42,3158.79,481.72,26239.00,3925.00,61.40,0.66,123.27,125.68
43,4293.31,286.82,35706.00,2344.00,64.80,0.55,123.13,125.30
44,4358.94,284.78,35972.00,2322.00,62.70,0.58,124.08,125.59
45,3908.37,342.60,32349.00,2781.00,61.10,0.82,123.72,126.15
46,3847.28,304.11,31854.00,2487.00,62.80,0.62,123.68,125.21
47,3926.68,275.61,32157.00,2231.00,63.90,0.70,125.04,126.50
48,4058.80,336.65,32987.00,2792.00,64.10,0.91,126.00,123.47
49,4129.91,261.69,34133.00,2134.00,65.50,0.65,123.90,125.57
50,4452.07,280.11,36904.00,2284.00,65.30,0.49,123.53,125.58
51,4819.34,195.29,39516.00,1586.00,63.50,0.39,124.89,126.09
52,3933.12,272.74,32717.00,2230.00,62.50,0.55,123.10,125.24
53,4024.36,388.63,33192.00,3161.00,64.60,0.66,124.15,125.90
54,4127.38,313.98,33832.00,2546.00,63.00,0.70,124.92,126.28
55,4617.15,142.05,37609.00,1146.00,63.70,0.47,125.71,126.93
56,3421.94,350.66,27931.00,2839.00,63.40,0.77,125.45,126.48
57,4201.17,271.88,34377.00,2200.00,62.20,0.72,125.14,126.55
58,4248.68,245.73,34477.00,2010.00,64.10,0.71,126.19,125.19
59,4585.02,86.61,37485.00,723.00,62.60,0.23,125.25,122.66
60,3640.46,399.30,29539.00,3245.00,64.90,0.94,126.20,126.00
61,3599.84,826.15,29359.00,7190.00,65.90,1.37,125.56,117.66
62,3912.80,417.16,32289.00,3398.00,65.20,1.01,124.09,125.71
63,4409.73,190.84,36204.00,1556.00,66.10,0.45,124.73,125.59
64,3644.38,439.36,30259.00,3576.00,64.90,0.81,123.33,125.81
65,4012.56,309.06,32907.00,2508.00,64.50,0.65,124.86,126.19
66,4115.63,300.81,33580.00,2574.00,64.70,0.70,125.50,119.67
67,3433.18,505.07,28067.00,4081.00,65.90,1.13,125.26,126.73
68,4077.78,256.57,33197.00,2086.00,59.90,0.44,125.78,125.95
69,3575.35,470.68,29295.00,3813.00,64.50,0.87,124.98,126.40
70,4780.71,130.94,38916.00,1065.00,63.90,0.31,125.80,125.90
71,3873.68,353.70,31997.00,2871.00,65.20,0.82,123.97,126.16
72,3954.21,345.39,32315.00,2802.00,66.00,0.79,125.30,126.23
73,3770.60,358.31,30889.00,2900.00,63.90,0.79,125.00,126.52
74,4065.71,352.71,33351.00,2861.00,64.00,0.65,124.83,126.24
75,4193.61,335.47,34458.00,2714.00,66.10,0.68,124.62,126.57
76,3855.05,371.07,31423.76,2996.04,63.96,0.89,125.62,126.83
77,4162.16,328.82,33963.00,2660.00,62.60,0.81,125.49,126.58
78,3550.30,356.70,28943.00,2880.00,62.50,0.82,125.61,126.83
79,4041.05,335.04,32989.00,2714.00,64.60,0.64,125.44,126.41
80,3446.55,458.14,28156.00,3692.00,60.50,1.21,125.35,127.07
81,4088.69,308.73,33253.00,2502.00,62.90,0.67,125.91,126.36
82,4179.21,262.48,34315.00,2132.00,64.90,0.61,124.71,126.07
83,4008.04,327.61,32899.00,2655.00,61.60,0.75,124.75,126.35
84,4224.40,329.26,34366.00,2654.00,61.40,0.92,125.87,127.04
85,4048.09,316.97,33222.00,2578.00,62.80,0.63,124.77,125.90
86,3546.91,432.92,28897.00,3495.00,64.50,1.16,125.69,126.84
87,4406.56,121.16,35829.00,980.00,63.00,0.41,125.94,126.60
88,3935.86,379.63,32302.00,3070.00,62.90,0.85,124.77,126.63
89,4096.96,306.59,33492.00,2483.00,63.50,0.67,125.26,126.44
90,3891.11,331.42,31935.00,2689.00,64.00,0.61,124.77,126.21
91,3464.60,860.98,29036.00,7474.00,69.30,1.20,122.18,117.96
92,4089.10,302.85,34010.00,2517.00,67.00,0.42,123.12,123.21
93,4037.28,361.54,33591.00,2934.00,64.30,0.79,123.07,126.18
94,3782.07,361.27,30898.00,2923.00,63.70,0.93,125.34,126.56
95,4480.57,277.39,36809.00,2255.00,67.00,0.54,124.65,125.96
96,3627.77,275.42,29596.00,2346.00,60.90,0.76,125.52,120.22
97,3558.46,337.45,28922.00,2725.00,62.60,1.01,125.99,126.81
98,4491.69,272.77,36659.00,2209.00,66.20,0.61,125.47,126.44
99,4505.89,268.27,36802.00,2172.00,62.70,0.61,125.37,126.48
100,3375.08,443.29,28128.00,3615.00,64.20,0.55,122.87,125.57
101,3813.63,468.64,31331.00,3791.00,67.90,1.08,124.64,126.59
102,4686.79,105.99,38338.00,862.00,62.30,0.37,125.18,125.91
103,3840.12,359.91,31887.00,2930.00,65.20,0.63,123.32,125.78
104,4052.37,375.45,33297.00,3043.00,63.30,0.75,124.62,126.34
105,3728.73,456.51,30739.00,3700.00,65.50,0.84,124.21,126.34
106,4135.68,279.39,33756.00,2263.00,66.50,0.64,125.46,126.43
107,3885.68,380.41,31828.00,3087.00,63.70,0.94,125.01,126.19
108,4510.97,180.39,36626.00,1457.00,61.60,0.54,126.12,126.78
109,3637.54,420.57,29960.00,3415.00,68.90,0.80,124.33,126.11
110,4368.75,259.14,35833.00,2109.00,66.50,0.60,124.85,125.82
111,3782.51,361.87,30967.00,2932.00,63.50,0.87,125.08,126.38
112,4396.42,238.21,36148.00,1935.00,63.60,0.62,124.54,126.06
113,4269.34,284.59,34885.00,2304.00,65.90,0.60,125.32,126.48
114,3707.62,457.26,30546.00,3709.00,63.10,0.83,124.29,126.24
115,4077.27,333.96,33360.00,2711.00,64.00,0.73,125.15,126.15
116,3639.04,408.22,29697.00,3293.00,60.70,0.94,125.48,126.94
117,3540.25,418.77,28879.00,3396.00,66.40,0.73,125.53,126.27
118,3401.18,466.09,27773.00,3794.00,66.70,1.05,125.40,125.80
119,3566.65,474.58,28990.00,3837.00,63.10,1.01,125.98,126.65
120,4074.09,300.89,33227.00,2432.00,63.80,0.75,125.56,126.69
121,4054.79,652.11,33288.00,5732.00,65.40,1.02,124.73,116.50
122,3783.46,377.95,31211.00,3121.00,62.10,0.75,124.13,124.00
123,4118.05,275.88,33372.00,2222.00,63.00,0.87,126.36,127.14
124,3984.64,282.02,32840.00,2303.00,62.00,0.57,124.25,125.40
125,2826.87,418.68,23402.00,3392.00,64.50,1.00,123.70,126.39
126,3465.05,483.55,28744.00,4048.00,64.10,1.20,123.44,122.32
127,4025.22,321.65,32907.00,2610.00,63.40,0.74,125.26,126.19
128,4075.69,323.88,33252.00,2631.00,58.90,0.56,125.51,126.05
129,3442.23,472.96,28038.00,3812.00,64.40,1.08,125.72,127.05
130,3929.59,287.18,31994.00,2330.00,61.40,0.60,125.77,126.21
131,4131.10,324.98,34299.00,2671.00,62.60,0.55,123.33,124.59
132,3682.78,360.99,30417.00,2936.00,63.70,0.79,123.98,125.90
133,3844.14,378.72,31647.00,3077.00,64.90,0.70,124.38,126.04
134,3532.66,395.53,28970.00,3206.00,64.90,0.79,124.87,126.33
135,3427.58,351.30,28277.00,2863.00,62.70,0.53,124.12,125.65
136,3205.80,423.29,26844.00,3460.00,59.80,0.59,122.29,125.27
137,3715.26,451.90,30309.00,3652.00,64.90,1.07,125.52,126.71
138,4307.24,285.50,35055.00,2308.00,64.30,0.80,125.82,126.67
139,4301.98,249.51,35134.00,2023.00,61.80,0.62,125.38,126.30
140,3960.85,351.38,32843.00,2858.00,63.20,0.66,123.49,125.90
141,3287.94,415.82,27294.00,3376.00,62.40,0.92,123.36,126.13
142,4018.86,355.61,32777.00,2886.00,64.90,0.88,125.55,126.17
143,4191.99,240.74,34508.00,1959.00,62.40,0.55,124.39,125.84
144,4030.66,335.75,32929.00,2715.00,62.00,0.73,125.34,126.63
145,4093.37,384.22,33307.00,3105.00,65.80,0.87,125.85,126.71
146,3821.50,367.43,31198.00,2979.00,62.10,0.87,125.43,126.30
147,3887.76,324.60,31967.00,2637.00,62.60,0.54,124.54,126.05
148,3302.74,522.06,27163.00,4231.00,61.60,1.20,124.51,126.35
149,4570.94,241.18,37348.00,1959.00,66.50,0.51,125.33,126.07
150,3613.45,378.41,29396.00,3105.00,58.70,0.84,125.87,124.80
151,2735.73,808.10,22389.00,6989.00,68.10,1.65,125.12,118.40
152,2658.49,316.70,21709.90,2672.28,70.79,1.58,125.39,121.36
153,3232.63,112.17,26462.63,925.25,68.38,0.44,125.09,124.14
154,2405.50,348.85,19656.00,2821.00,69.60,2.51,125.32,126.63
155,2654.57,258.58,21831.00,2102.00,68.20,1.09,124.51,125.97
156,2643.11,312.10,21710.00,2675.00,71.50,1.79,124.67,119.47
157,3105.82,170.79,25622.00,1387.00,71.30,0.92,124.13,126.09
158,2423.33,307.14,19692.00,2475.00,70.10,3.92,126.02,127.07
159,3021.81,171.54,24498.00,1385.00,66.40,1.60,126.31,126.83
160,2564.11,266.32,21062.00,2156.00,71.20,3.21,124.66,126.49
