second,write_MiB_s
1.000,5050.000
2.000,5072.000
3.000,5088.088
4.000,5080.000
5.001,5064.000
6.000,5079.078
7.000,5074.073
8.000,5081.000
9.000,5084.084
10.001,5078.000
11.000,5073.072
12.000,5055.055
13.000,5052.000
14.000,5033.032
15.000,4759.000
16.000,700.700
17.000,884.000
18.000,816.816
19.000,682.000
20.000,817.817
21.000,808.809
22.000,806.000
23.000,814.814
24.000,838.000
25.000,925.926
26.000,832.000
27.000,911.911
28.000,890.000
29.000,808.809
30.000,878.000
31.000,867.000
32.000,918.918
33.000,825.000
34.000,1021.021
35.000,1887.000
36.000,1718.718
37.000,1755.000
38.000,1448.448
39.000,1492.000
40.000,1866.866
41.000,1864.000
42.000,1869.869
43.000,1900.000
44.000,1885.000
45.000,1099.000
46.000,1350.350
47.000,1744.000
48.000,1866.000
49.000,1884.885
50.000,1864.000
51.000,1889.000
52.000,1680.681
53.000,1874.000
54.000,1888.000
55.000,1676.000
56.000,1761.762
57.000,1840.000
58.000,1783.000
59.000,1561.562
60.000,1872.000
61.000,1576.000
62.000,1612.612
63.000,1883.000
64.000,1893.000
65.000,1724.000
66.000,1711.711
67.000,1707.000
68.000,1885.000
69.000,1868.868
70.000,1722.000
71.000,1773.000
72.000,1600.601
73.000,1607.000
74.000,1452.000
75.000,1767.768
76.000,1641.000
77.000,739.000
78.000,1370.370
79.000,1503.000
80.000,1887.000
81.000,1617.617
82.000,1548.000
83.000,1543.000
84.000,1661.661
85.000,1741.000
86.001,1552.000
87.000,1595.595
88.000,1557.557
89.000,1750.000
90.000,1610.610
91.000,1632.000
92.000,1442.000
93.000,1616.616
94.000,1713.000
95.000,1504.000
96.000,1749.749
97.000,1489.000
98.001,1728.000
99.000,1621.621
100.000,1464.000
101.000,1463.000
