second,write_MiB_s
1.000,5019.000
2.000,5071.070
3.000,5074.073
4.001,5077.000
5.000,5072.071
6.000,5069.068
7.000,5076.075
8.000,5078.077
9.001,5083.000
10.000,5074.073
11.000,5066.065
12.000,5069.068
13.000,5073.072
14.000,5068.000
15.000,5075.074
16.000,5076.075
17.000,5080.080
18.000,5072.000
19.000,5019.019
20.000,1909.909
21.000,1876.876
22.000,1879.879
23.001,1881.000
24.000,1362.362
25.000,1760.761
26.000,1753.753
27.001,1781.000
28.000,1336.336
29.000,1825.825
30.000,1732.732
31.000,1889.890
32.000,1887.888
33.000,1874.000
34.000,1771.771
35.000,1870.870
36.000,1898.898
37.000,1793.793
38.000,1889.890
39.000,1878.878
40.001,1679.000
41.000,1889.890
42.000,1730.730
43.000,1865.865
44.001,1820.000
45.000,1583.583
46.000,1522.522
47.000,1892.893
48.000,1878.878
49.001,1822.000
50.000,1862.862
51.000,1863.863
52.000,1903.903
53.000,1659.659
54.000,1844.845
55.000,1879.000
56.000,1824.824
57.000,1887.888
58.000,1748.748
59.000,1375.000
60.000,1802.803
61.000,1805.000
62.000,1890.891
63.000,1602.603
64.000,1885.886
65.000,1739.000
66.000,1867.867
67.000,1706.706
68.000,1682.000
69.000,1347.347
70.001,1761.000
71.000,1753.753
72.000,1727.728
73.000,1893.000
74.000,1821.821
75.000,1677.677
76.000,1735.000
77.000,1900.900
78.000,1888.889
79.000,1875.000
80.000,1870.870
